Region,SubRegion,Country,Country Code,DrugGroup,Drug,Year,KgEquivalent
Africa,West and Central Africa,Togo,TOG,Opioids,Pharmaceutical opioids,2019,17.464
Africa,West and Central Africa,Togo,TOG,Opioids,Pharmaceutical opioids,2019,3.928500059
Africa,West and Central Africa,Togo,TOG,Opioids,Pharmaceutical opioids,2017,7.8
Africa,West and Central Africa,Togo,TOG,Opioids,Pharmaceutical opioids,2016,10320
Africa,West and Central Africa,Togo,TOG,Opioids,Pharmaceutical opioids,2015,4.92
Americas,Caribbean,Antigua and Barbuda,ANT,ATS,Ecstasy-type substances,2019,0.010027
Americas,Caribbean,Aruba,ARU,Cannabis-type,Marijuana (herb),2016,63
Americas,Caribbean,Aruba,ARU,Cocaine-type,Cocaine salts,2016,1130
Americas,Caribbean,Aruba,ARU,Non-specified,Non-specified,2015,92
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Marijuana (herb),2019,225700
Americas,Caribbean,Bahamas,BHA,Cocaine-type,Cocaine salts,2019,1000
Americas,Caribbean,Bahamas,BHA,ATS,Ecstasy-type substances,2018,0.226796005
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Cannabis plants,2018,843.9
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Hashish (resin),2018,24.56654329
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Marijuana (herb),2018,4666.169051
Americas,Caribbean,Bahamas,BHA,Cocaine-type,Cocaine salts,2018,83.47907361
Americas,Caribbean,Bahamas,BHA,Cocaine-type,Other coca/cocaine type,2018,0.0325
Americas,Caribbean,Bahamas,BHA,Opioids,Heroin,2018,4.3091241
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Cannabis plants,2017,1624.2
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Hashish (resin),2017,25.4
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Marijuana (herb),2017,7998
Americas,Caribbean,Bahamas,BHA,Cocaine-type,Cocaine salts,2017,941.47
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Marijuana (herb),2016,4450
Americas,Caribbean,Bahamas,BHA,Cocaine-type,Cocaine salts,2016,1543
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Cannabis plants,2015,1727
Americas,Caribbean,Bahamas,BHA,Cannabis-type,Marijuana (herb),2015,26600
Americas,Caribbean,Bahamas,BHA,Cocaine-type,Non-specified cocaine,2015,637
Americas,Caribbean,Barbados,BAR,ATS,Methamphetamine,2018,0.02
Americas,Caribbean,Barbados,BAR,Cannabis-type,Cannabis plants,2018,348.7
Americas,Caribbean,Barbados,BAR,Cannabis-type,Marijuana (herb),2018,4512.5
Americas,Caribbean,Barbados,BAR,Cocaine-type,Non-specified cocaine,2018,40.9
Americas,Caribbean,Cuba,CUB,Cannabis-type,Marijuana (herb),2015,962
Americas,Caribbean,Dominican Republic,DOM,ATS,Ecstasy-type substances,2019,12.974125
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Cannabis plants,2019,49.9
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Marijuana (herb),2019,1970.69575
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Crack,2019,5768.26
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Non-specified cocaine,2019,4947.12805
Americas,Caribbean,Dominican Republic,DOM,Non-specified,Psychotropic substances,2019,0.362459992
Americas,Caribbean,Dominican Republic,DOM,Non-specified,Psychotropic substances,2019,812661.11
Americas,Caribbean,Dominican Republic,DOM,Opioids,Heroin,2019,0.18479
Americas,Caribbean,Dominican Republic,DOM,Opioids,Opium,2019,0.059100002
Americas,Caribbean,Dominican Republic,DOM,Opioids,Pharmaceutical opioids,2019,0.02825
Americas,Caribbean,Dominican Republic,DOM,Opioids,Pharmaceutical opioids,2019,0.001
Americas,Caribbean,Dominican Republic,DOM,ATS,Ecstasy-type substances,2018,0.221136
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Cannabis plants,2018,34.6
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Hashish (resin),2018,5.22
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Marijuana (herb),2018,1642.91
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Cocaine salts,2018,6179.32
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Crack,2018,3.63
Americas,Caribbean,Dominican Republic,DOM,Opioids,Heroin,2018,3.89
Americas,Caribbean,Dominican Republic,DOM,ATS,Amphetamine,2017,3.093
Americas,Caribbean,Dominican Republic,DOM,ATS,Ecstasy-type substances,2017,0.142
Americas,Caribbean,Dominican Republic,DOM,ATS,Other stimulants,2017,0.7
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Cannabis plants,2017,65.9
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Hashish (resin),2017,0.307
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Marijuana (herb),2017,5047.51
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Cocaine salts,2017,15723.3
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Crack,2017,17.107
Americas,Caribbean,Dominican Republic,DOM,Opioids,Heroin,2017,27.57
Americas,Caribbean,Dominican Republic,DOM,Opioids,Opium,2017,0.198
Americas,Caribbean,Dominican Republic,DOM,ATS,Ecstasy-type substances,2016,0.690237
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Cannabis plants,2016,124.6
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Hashish (resin),2016,0.25
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Marijuana (herb),2016,5601
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Cocaine salts,2016,8450
Americas,Caribbean,Dominican Republic,DOM,Opioids,Heroin,2016,68.49
Americas,Caribbean,Dominican Republic,DOM,Cannabis-type,Marijuana (herb),2015,3665.7
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Cocaine salts,2015,9370.1
Americas,Caribbean,Dominican Republic,DOM,Cocaine-type,Crack,2015,27.1
Americas,Caribbean,Dominican Republic,DOM,Opioids,Heroin,2015,51.2
Americas,Caribbean,Haiti,HAI,Cannabis-type,Marijuana (herb),2019,1322
Americas,Caribbean,Haiti,HAI,Cocaine-type,Cocaine salts,2019,10
Americas,Caribbean,Haiti,HAI,Cannabis-type,Marijuana (herb),2016,0.00176
Americas,Caribbean,Haiti,HAI,Cocaine-type,Cocaine salts,2016,35
Americas,Caribbean,Haiti,HAI,Cannabis-type,Marijuana (herb),2015,2702.15
Americas,Caribbean,Haiti,HAI,Cocaine-type,Non-specified cocaine,2015,160.71
Americas,Caribbean,Haiti,HAI,Hallucinogens,LSD,2015,0.404
Americas,Caribbean,Haiti,HAI,Opioids,Heroin,2015,15.7
Americas,Caribbean,Jamaica,JAM,Cannabis-type,Marijuana (herb),2019,24000
Americas,Caribbean,Jamaica,JAM,Cocaine-type,Cocaine salts,2019,1630
Americas,Caribbean,Jamaica,JAM,Cannabis-type,Hashish (resin),2015,1.42
Americas,Caribbean,Jamaica,JAM,Cannabis-type,Hashish (resin),2015,6.2
Americas,Caribbean,Jamaica,JAM,Cannabis-type,Marijuana (herb),2015,21200
Americas,Caribbean,Jamaica,JAM,Cocaine-type,Crack,2015,0.486
Americas,Caribbean,Puerto Rico,PUE,Cocaine-type,Non-specified cocaine,2015,12352.84
Americas,Caribbean,Trinidad and Tobago,TRI,Cannabis-type,Marijuana (herb),2019,2890
Americas,Caribbean,Trinidad and Tobago,TRI,Cocaine-type,Cocaine salts,2019,320
Americas,Caribbean,Trinidad and Tobago,TRI,Cannabis-type,Marijuana (herb),2016,1200
Americas,Caribbean,Trinidad and Tobago,TRI,Cocaine-type,Cocaine salts,2016,292
Americas,Caribbean,Trinidad and Tobago,TRI,Cannabis-type,Marijuana (herb),2015,2540.68
Americas,Caribbean,Trinidad and Tobago,TRI,Cocaine-type,Crack,2015,391.61
Americas,Central America,Belize,BZE,ATS,Methamphetamine,2019,0.001
Americas,Central America,Belize,BZE,Cannabis-type,Cannabis plants,2019,0.982
Americas,Central America,Belize,BZE,Cannabis-type,Cannabis seed,2019,1.6
Americas,Central America,Belize,BZE,Cannabis-type,Marijuana (herb),2019,421
Americas,Central America,Belize,BZE,Cocaine-type,Coca paste/cocaine base,2019,3
Americas,Central America,Belize,BZE,Cocaine-type,Cocaine salts,2019,1369
Americas,Central America,Belize,BZE,Opioids,Heroin,2019,1.9
Americas,Central America,Belize,BZE,Cannabis-type,Marijuana (herb),2016,901.9
Americas,Central America,Belize,BZE,Cocaine-type,Cocaine salts,2016,17.4
Americas,Central America,Belize,BZE,Cocaine-type,Crack,2016,1
Americas,Central America,Belize,BZE,Cannabis-type,Cannabis plants,2015,5089.7
Americas,Central America,Belize,BZE,Cocaine-type,Non-specified cocaine,2015,2.8
Americas,Central America,Belize,BZE,Opioids,Heroin,2015,26
Americas,Central America,Costa Rica,COS,ATS,Non-specified ATS,2019,10.621225
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis plants,2019,141949.5
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis seed,2019,0.103249998
Americas,Central America,Costa Rica,COS,Cannabis-type,Marijuana (herb),2019,16815.37838
Americas,Central America,Costa Rica,COS,Cocaine-type,Cocaine salts,2019,31132.02214
Americas,Central America,Costa Rica,COS,Cocaine-type,Crack,2019,28.34002709
Americas,Central America,Costa Rica,COS,Hallucinogens,LSD,2019,1.66E-05
Americas,Central America,Costa Rica,COS,Opioids,Heroin,2019,4.5E-05
Americas,Central America,Costa Rica,COS,Substances not under international control,Ketamine and phencyclidine-type substances,2019,0.2
Americas,Central America,Costa Rica,COS,Substances not under international control,Ketamine and phencyclidine-type substances,2019,0.00495
Americas,Central America,Costa Rica,COS,Substances not under international control,Ketamine and phencyclidine-type substances,2019,0.001225
Americas,Central America,Costa Rica,COS,ATS,Ecstasy-type substances,2018,14.689013
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis plants,2018,134627.3
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis seed,2018,0.059179999
Americas,Central America,Costa Rica,COS,Cannabis-type,Marijuana (herb),2018,6231.096903
Americas,Central America,Costa Rica,COS,Cocaine-type,Cocaine salts,2018,27545.54763
Americas,Central America,Costa Rica,COS,Cocaine-type,Crack,2018,32.44264271
Americas,Central America,Costa Rica,COS,Hallucinogens,LSD,2018,4.225E-05
Americas,Central America,Costa Rica,COS,Opioids,Heroin,2018,0.00111
Americas,Central America,Costa Rica,COS,Substances not under international control,Ketamine and phencyclidine-type substances,2018,0
Americas,Central America,Costa Rica,COS,Substances not under international control,Ketamine and phencyclidine-type substances,2018,0.005475
Americas,Central America,Costa Rica,COS,Substances not under international control,Ketamine and phencyclidine-type substances,2018,0.0309
Americas,Central America,Costa Rica,COS,ATS,Ecstasy-type substances,2017,14.6316965
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis plants,2017,192129.7
Americas,Central America,Costa Rica,COS,Cannabis-type,Marijuana (herb),2017,7347.478371
Americas,Central America,Costa Rica,COS,Cocaine-type,Cocaine salts,2017,27925.23051
Americas,Central America,Costa Rica,COS,Cocaine-type,Crack,2017,31.96668714
Americas,Central America,Costa Rica,COS,Hallucinogens,LSD,2017,6.635E-05
Americas,Central America,Costa Rica,COS,Opioids,Heroin,2017,0.02238
Americas,Central America,Costa Rica,COS,ATS,Ecstasy-type substances,2016,0.951752
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis plants,2016,212292.2
Americas,Central America,Costa Rica,COS,Cannabis-type,Hashish (resin),2016,0.192
Americas,Central America,Costa Rica,COS,Cannabis-type,Marijuana (herb),2016,12205
Americas,Central America,Costa Rica,COS,Cocaine-type,Cocaine salts,2016,23244
Americas,Central America,Costa Rica,COS,Cocaine-type,Crack,2016,34.4118
Americas,Central America,Costa Rica,COS,Cocaine-type,Crack,2016,22.94120034
Americas,Central America,Costa Rica,COS,Hallucinogens,Non-specified hallucinogens,2016,0.0101
Americas,Central America,Costa Rica,COS,Opioids,Heroin,2016,0.039
Americas,Central America,Costa Rica,COS,ATS,Ecstasy-type substances,2015,0.110026
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis plants,2015,172717.5
Americas,Central America,Costa Rica,COS,Cannabis-type,Cannabis seed,2015,0.098559998
Americas,Central America,Costa Rica,COS,Cannabis-type,Hashish (resin),2015,0.007
Americas,Central America,Costa Rica,COS,Cannabis-type,Marijuana (herb),2015,6422.138725
Americas,Central America,Costa Rica,COS,Cocaine-type,Cocaine salts,2015,17035.26216
Americas,Central America,Costa Rica,COS,Cocaine-type,Crack,2015,18.42143694
Americas,Central America,Costa Rica,COS,Hallucinogens,LSD,2015,7.95E-06
Americas,Central America,Costa Rica,COS,Opioids,Heroin,2015,30.5255
Americas,Central America,El Salvador,ELS,ATS,Amphetamine,2019,0.1365
Americas,Central America,El Salvador,ELS,ATS,Methamphetamine,2019,0.1
Americas,Central America,El Salvador,ELS,Cannabis-type,Cannabis plants,2019,58.8
Americas,Central America,El Salvador,ELS,Cannabis-type,Hashish (resin),2019,0.5
Americas,Central America,El Salvador,ELS,Cannabis-type,Marijuana (herb),2019,1299.90395
Americas,Central America,El Salvador,ELS,Cocaine-type,Cocaine salts,2019,99.96787
Americas,Central America,El Salvador,ELS,Cocaine-type,Crack,2019,7.8034
Americas,Central America,El Salvador,ELS,Opioids,Heroin,2019,1.15
Americas,Central America,El Salvador,ELS,ATS,Methamphetamine,2018,0.531
Americas,Central America,El Salvador,ELS,Cannabis-type,Cannabis plants,2018,139.4
Americas,Central America,El Salvador,ELS,Cannabis-type,Marijuana (herb),2018,1252.4
Americas,Central America,El Salvador,ELS,Cocaine-type,Cocaine salts,2018,13779.1
Americas,Central America,El Salvador,ELS,Cocaine-type,Crack,2018,4.81
Americas,Central America,El Salvador,ELS,Opioids,Heroin,2018,0.002
Americas,Central America,El Salvador,ELS,ATS,Methamphetamine,2017,0.004
Americas,Central America,El Salvador,ELS,Cannabis-type,Cannabis plants,2017,24.1
Americas,Central America,El Salvador,ELS,Cannabis-type,Marijuana (herb),2017,747.23
Americas,Central America,El Salvador,ELS,Cocaine-type,Cocaine salts,2017,7213
Americas,Central America,El Salvador,ELS,Cocaine-type,Crack,2017,4.1
Americas,Central America,El Salvador,ELS,Opioids,Heroin,2017,8.9
Americas,Central America,El Salvador,ELS,ATS,Ecstasy-type substances,2016,0.3
Americas,Central America,El Salvador,ELS,ATS,Methamphetamine,2016,0.0006
Americas,Central America,El Salvador,ELS,Cannabis-type,Cannabis plants,2016,42.9
Americas,Central America,El Salvador,ELS,Cannabis-type,Marijuana (herb),2016,663.34
Americas,Central America,El Salvador,ELS,Cocaine-type,Cocaine salts,2016,9718.71
Americas,Central America,El Salvador,ELS,Cocaine-type,Crack,2016,2.01
Americas,Central America,El Salvador,ELS,ATS,Methamphetamine,2015,2.42873
Americas,Central America,El Salvador,ELS,Cannabis-type,Cannabis plants,2015,54.7
Americas,Central America,El Salvador,ELS,Cannabis-type,Marijuana (herb),2015,1071.41101
Americas,Central America,El Salvador,ELS,Cannabis-type,Marijuana (herb),2015,0.006
Americas,Central America,El Salvador,ELS,Cocaine-type,Cocaine salts,2015,3057.57842
Americas,Central America,El Salvador,ELS,Cocaine-type,Crack,2015,2.70769
Americas,Central America,El Salvador,ELS,Opioids,Heroin,2015,2.2617
Americas,Central America,Guatemala,GUA,ATS,Amphetamine,2019,16877.46
Americas,Central America,Guatemala,GUA,ATS,Methamphetamine,2019,0.64
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis plants,2019,344797.9
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis seed,2019,15.78
Americas,Central America,Guatemala,GUA,Cannabis-type,Marijuana (herb),2019,1925.85
Americas,Central America,Guatemala,GUA,Cocaine-type,Coca bush,2019,2343845
Americas,Central America,Guatemala,GUA,Cocaine-type,Cocaine salts,2019,18910.6
Americas,Central America,Guatemala,GUA,Cocaine-type,Crack,2019,9.3
Americas,Central America,Guatemala,GUA,Opioids,Heroin,2019,11.81
Americas,Central America,Guatemala,GUA,Opioids,Opium,2019,100.42
Americas,Central America,Guatemala,GUA,Precursors,Ephedrine,2019,155.5
Americas,Central America,Guatemala,GUA,Precursors,Pseudoephedrine,2019,162.01
Americas,Central America,Guatemala,GUA,ATS,Amphetamine,2018,1.06
Americas,Central America,Guatemala,GUA,ATS,Methamphetamine,2018,0.29
Americas,Central America,Guatemala,GUA,ATS,Other stimulants,2018,0.92
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis plants,2018,518942.2
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis seed,2018,58.95
Americas,Central America,Guatemala,GUA,Cannabis-type,Marijuana (herb),2018,2575.15
Americas,Central America,Guatemala,GUA,Cocaine-type,Coca leaf,2018,743.68
Americas,Central America,Guatemala,GUA,Cocaine-type,Cocaine salts,2018,16829.71
Americas,Central America,Guatemala,GUA,Cocaine-type,Crack,2018,6.79
Americas,Central America,Guatemala,GUA,Opioids,Heroin,2018,17.36
Americas,Central America,Guatemala,GUA,ATS,Amphetamine,2017,22.71
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis plants,2017,603334.5
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis seed,2017,0.0005
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis seed,2017,49.51
Americas,Central America,Guatemala,GUA,Cannabis-type,Marijuana (herb),2017,1583
Americas,Central America,Guatemala,GUA,Cocaine-type,Cocaine salts,2017,13659
Americas,Central America,Guatemala,GUA,Cocaine-type,Crack,2017,4.44
Americas,Central America,Guatemala,GUA,Opioids,Heroin,2017,47.94
Americas,Central America,Guatemala,GUA,Opioids,Poppy seed,2017,12.7
Americas,Central America,Guatemala,GUA,ATS,Methamphetamine,2016,2.51
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis plants,2016,313829.8
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis seed,2016,126.441
Americas,Central America,Guatemala,GUA,Cannabis-type,Marijuana (herb),2016,1453.6
Americas,Central America,Guatemala,GUA,Cocaine-type,Cocaine salts,2016,12818.47
Americas,Central America,Guatemala,GUA,Cocaine-type,Crack,2016,5.24
Americas,Central America,Guatemala,GUA,Opioids,Heroin,2016,143.43
Americas,Central America,Guatemala,GUA,ATS,Amphetamine,2015,12700.81
Americas,Central America,Guatemala,GUA,ATS,Methamphetamine,2015,421
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis plants,2015,69237.5
Americas,Central America,Guatemala,GUA,Cannabis-type,Cannabis seed,2015,23.18
Americas,Central America,Guatemala,GUA,Cannabis-type,Marijuana (herb),2015,347.18
Americas,Central America,Guatemala,GUA,Cocaine-type,Cocaine salts,2015,6175.07
Americas,Central America,Guatemala,GUA,Cocaine-type,Crack,2015,6.12
Americas,Central America,Guatemala,GUA,Opioids,Heroin,2015,83.4
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis plants,2019,22854.2
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis seed,2019,262.3122597
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2019,26.083
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2019,19.718
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2019,16049.8
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2019,97.02
Americas,Central America,Honduras,HON,Cocaine-type,Cocaine salts,2019,2.714
Americas,Central America,Honduras,HON,Cocaine-type,Cocaine salts,2019,2218.9
Americas,Central America,Honduras,HON,Cocaine-type,Crack,2019,0.76
Americas,Central America,Honduras,HON,Hallucinogens,LSD,2019,4.15E-06
Americas,Central America,Honduras,HON,Opioids,Pharmaceutical opioids,2019,5
Americas,Central America,Honduras,HON,Precursors,Other precursors,2019,4.6
Americas,Central America,Honduras,HON,Substances not under international control,Synthetic cathinones,2019,1
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis plants,2018,72042.6
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis seed,2018,64.18326949
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2018,10924.8
Americas,Central America,Honduras,HON,Cannabis-type,Non-specified cannabis-type,2018,138.195
Americas,Central America,Honduras,HON,Cocaine-type,Coca leaf,2018,3960
Americas,Central America,Honduras,HON,Cocaine-type,Cocaine salts,2018,2788
Americas,Central America,Honduras,HON,Cocaine-type,Crack,2018,3.093
Americas,Central America,Honduras,HON,Cocaine-type,Non-specified cocaine,2018,2.639
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis plants,2017,0
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis plants,2017,8387.5
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis seed,2017,111.1300426
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2017,5103.2556
Americas,Central America,Honduras,HON,Cocaine-type,Coca leaf,2017,120
Americas,Central America,Honduras,HON,Cocaine-type,Cocaine salts,2017,2156.2962
Americas,Central America,Honduras,HON,Cocaine-type,Crack,2017,0.76608
Americas,Central America,Honduras,HON,Opioids,Heroin,2017,0.00117
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis plants,2016,2425.3
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis seed,2016,0.850470028
Americas,Central America,Honduras,HON,Cannabis-type,Hashish (resin),2016,0.0178
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2016,4935.61
Americas,Central America,Honduras,HON,Cocaine-type,Cocaine salts,2016,800.2
Americas,Central America,Honduras,HON,Cocaine-type,Crack,2016,1.2593
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis plants,2015,1007.2
Americas,Central America,Honduras,HON,Cannabis-type,Cannabis seed,2015,0.481933016
Americas,Central America,Honduras,HON,Cannabis-type,Marijuana (herb),2015,2667.9
Americas,Central America,Honduras,HON,Cocaine-type,Cocaine salts,2015,2046.74
Americas,Central America,Honduras,HON,Cocaine-type,Crack,2015,0.3622
Americas,Central America,Honduras,HON,Opioids,Heroin,2015,0.0058
Americas,Central America,Nicaragua,NIC,Cannabis-type,Cannabis plants,2019,5780
Americas,Central America,Nicaragua,NIC,Cannabis-type,Cannabis seed,2019,0.98
Americas,Central America,Nicaragua,NIC,Cannabis-type,Marijuana (herb),2019,3586
Americas,Central America,Nicaragua,NIC,Cocaine-type,Cocaine salts,2019,5910.49
Americas,Central America,Nicaragua,NIC,Cocaine-type,Crack,2019,9.84
Americas,Central America,Nicaragua,NIC,Cannabis-type,Cannabis plants,2018,3682.1
Americas,Central America,Nicaragua,NIC,Cannabis-type,Marijuana (herb),2018,1580
Americas,Central America,Nicaragua,NIC,Cocaine-type,Cocaine salts,2018,2580
Americas,Central America,Nicaragua,NIC,Cannabis-type,Marijuana (herb),2017,1170
Americas,Central America,Nicaragua,NIC,Cocaine-type,Cocaine salts,2017,4800
Americas,Central America,Nicaragua,NIC,Cannabis-type,Marijuana (herb),2016,1960
Americas,Central America,Nicaragua,NIC,Cocaine-type,Cocaine salts,2016,4170
Americas,Central America,Nicaragua,NIC,Cannabis-type,Cannabis plants,2015,216
Americas,Central America,Nicaragua,NIC,Cannabis-type,Marijuana (herb),2015,358
Americas,Central America,Nicaragua,NIC,Cocaine-type,Non-specified cocaine,2015,4250
Americas,Central America,Panama,PAN,ATS,Ecstasy-type substances,2019,10
Americas,Central America,Panama,PAN,Cannabis-type,Marijuana (herb),2019,12900
Americas,Central America,Panama,PAN,Cocaine-type,Coca paste/cocaine base,2019,4.8
Americas,Central America,Panama,PAN,Cocaine-type,Cocaine salts,2019,77960
Americas,Central America,Panama,PAN,ATS,Ecstasy-type substances,2018,1.6816
Americas,Central America,Panama,PAN,Cannabis-type,Marijuana (herb),2018,17798.41799
Americas,Central America,Panama,PAN,Cocaine-type,Cocaine salts,2018,57211.36163
Americas,Central America,Panama,PAN,Cocaine-type,Crack,2018,414.06924
Americas,Central America,Panama,PAN,Opioids,Heroin,2018,10.92112
Americas,Central America,Panama,PAN,Opioids,Pharmaceutical opioids,2018,0.00713
Americas,Central America,Panama,PAN,ATS,Amphetamine,2017,0.0243
Americas,Central America,Panama,PAN,ATS,Ecstasy-type substances,2017,0.03802
Americas,Central America,Panama,PAN,ATS,Methamphetamine,2017,345.7895
Americas,Central America,Panama,PAN,Cannabis-type,Marijuana (herb),2017,12952.99444
Americas,Central America,Panama,PAN,Cocaine-type,Cocaine salts,2017,63652.91419
Americas,Central America,Panama,PAN,Cocaine-type,Crack,2017,869.55306
Americas,Central America,Panama,PAN,Opioids,Heroin,2017,0.002
Americas,Central America,Panama,PAN,Opioids,Pharmaceutical opioids,2017,0.008
Americas,Central America,Panama,PAN,Substances not under international control,Ketamine and phencyclidine-type substances,2017,0.0089
Americas,Central America,Panama,PAN,ATS,Amphetamine,2016,0.16
Americas,Central America,Panama,PAN,ATS,Ecstasy-type substances,2016,0.40837
Americas,Central America,Panama,PAN,ATS,Other stimulants,2016,0.16057
Americas,Central America,Panama,PAN,Cannabis-type,Marijuana (herb),2016,5746.35048
Americas,Central America,Panama,PAN,Cocaine-type,Cocaine salts,2016,65275.45914
Americas,Central America,Panama,PAN,Cocaine-type,Crack,2016,853.49294
Americas,Central America,Panama,PAN,Opioids,Heroin,2016,4.23594
Americas,Central America,Panama,PAN,Opioids,Pharmaceutical opioids,2016,0.04862
Americas,Central America,Panama,PAN,Substances not under international control,Ketamine and phencyclidine-type substances,2016,0.00489
Americas,Central America,Panama,PAN,ATS,Ecstasy-type substances,2015,0.03892
Americas,Central America,Panama,PAN,ATS,Methamphetamine,2015,0.03249
Americas,Central America,Panama,PAN,ATS,Other stimulants,2015,0.0083
Americas,Central America,Panama,PAN,Cannabis-type,Marijuana (herb),2015,4663.13693
Americas,Central America,Panama,PAN,Cocaine-type,Cocaine salts,2015,52261.77649
Americas,Central America,Panama,PAN,Cocaine-type,Crack,2015,1148.95522
Americas,Central America,Panama,PAN,Hallucinogens,LSD,2015,0.0000097
Americas,Central America,Panama,PAN,Opioids,Heroin,2015,28.56755
Americas,Central America,Panama,PAN,Opioids,Pharmaceutical opioids,2015,0.00791
Americas,Central America,Panama,PAN,Sedatives and Tranquillizers,Benzodiazepines,2015,0.00418
Americas,Central America,Panama,PAN,Substances not under international control,Ketamine and phencyclidine-type substances,2015,0.00213
Americas,North America,Canada,CAN,ATS,Amphetamine,2019,18.53
Americas,North America,Canada,CAN,ATS,Amphetamine,2019,25.690275
Americas,North America,Canada,CAN,ATS,Amphetamine,2019,0.02
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,0.08025
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,0.16
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,0.00063
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,1.7
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,45.63
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,8.81072
Americas,North America,Canada,CAN,ATS,Ecstasy-type substances,2019,0.86
Americas,North America,Canada,CAN,ATS,Methamphetamine,2019,0.000405
Americas,North America,Canada,CAN,ATS,Methamphetamine,2019,111.699655
Americas,North America,Canada,CAN,ATS,Methamphetamine,2019,810.394378
Americas,North America,Canada,CAN,ATS,Methamphetamine,2019,171.85186
Americas,North America,Canada,CAN,ATS,Other stimulants,2019,0.0001
Americas,North America,Canada,CAN,ATS,Other stimulants,2019,0.66
Americas,North America,Canada,CAN,ATS,Other stimulants,2019,0.003
Americas,North America,Canada,CAN,ATS,Other stimulants,2019,6.36875
Americas,North America,Canada,CAN,ATS,Other stimulants,2019,700.0462
Americas,North America,Canada,CAN,ATS,Other stimulants,2019,750.28167
